"id","gene_id","synonym"
"579","3167","IATIL"
"580","3167","ITI"
"581","3167","ITIL"
"582","3167","ITILC"
"583","3167","UTI"
"584","5040","ADOMETDC"
"585","5040","AMD"
"586","5040","SAMDC"
"587","5260","AI1E"
"588","5260","AIH1"
"589","5260","ALGN"
"590","5260","AMG"
"591","5260","AMGL"
"592","5260","AMGX"
"593","1992","AMGL"
"594","1992","AMGY"
"595","9560","GP78"
"596","9560","RNF45"
"597","2818","MIF"
"598","2818","MIS"
"599","6568","AMHR"
"600","6568","MISR2"
"601","6568","MISRII"
"602","6568","MRII"
"603","4324","MAD"
"604","4324","MADA"
"605","4324","MMDD"
"606","4277","PCH9"
"607","4277","SPG63"
"608","6312","-"
"609","1331","AMPH1"
"610","6793","AMPH2"
"611","6793","AMPHL"
"612","6793","CNM2"
"613","6793","SH3P9"
"614","8998","AGP1"
"615","8998","AGPT"
"616","8998","ANG1"
"617","1838","AGPT2"
"618","1838","ANG2"
"619","456","ANK"
"620","456","SPH1"
"621","456","SPH2"
"622","8051","ANK-2"
"623","8051","CFAP87"
"624","8051","FAP87"
"625","8051","LQT4"
"626","8051","brank-2"
"627","8663","ANKYRIN-G"
"628","8663","MRT37"
"629","10988","APN"
"630","10988","CD13"
"631","10988","GP150"
"632","10988","LAP1"
"633","10988","P150"
"634","10988","PEPN"
"635","8740","AAC1"
"636","8740","ANT"
"637","8740","ANT 1"
"638","8740","ANT1"
"639","8740","MTDPS12"
"640","8740","MTDPS12A"
"641","8740","PEO2"
"642","8740","PEO3"
"643","8740","PEOA2"
"644","8740","T1"
"645","73","2F1"
"646","73","AAC2"
"647","73","ANT2"
"648","73","T2"
"649","73","T3"
"650","11493","AAC3"
"651","11493","ANT"
"652","11493","ANT 2"
"653","11493","ANT 3"
"654","11493","ANT3"
"655","11493","ANT3Y"
"656","6500","ANX1"
"657","6500","LPC1"
"658","13615","ANX2"
"659","13615","ANX2L4"
"660","13615","CAL1H"
"661","13615","HEL-S-270"
"662","13615","LIP2"
"663","13615","LPC2"
"664","13615","LPC2D"
"665","13615","P36"
"666","13615","PAP-IV"
"667","7179","ANX3"
"668","14874","ANX4"
"669","14874","HEL-S-274"
"670","14874","P32.5"
"671","14874","PAP-II"
"672","14874","PIG28"
"673","14874","PP4-X"
"674","14874","ZAP36"
"675","10359","ANX5"
"676","10359","ENX2"
"677","10359","HEL-S-7"
"678","10359","PP4"
"679","10359","RPRGL3"
"680","14885","ANX6"
"681","14885","CBP68"
"682","14885","CPB-II"
"683","14885","p68"
"684","14885","p70"
"685","7083","ANX7"
"686","7083","SNX"
"687","7083","SYNEXIN"
"688","4916","ALS23"
"689","4916","ANX11"
"690","4916","CAP-50"
"691","4916","CAP50"
"692","2764","ANX13"
"693","2764","ISA"
"694","6727","-"
"695","6005","DAO2"
"696","6005","RAO"
"697","6005","SSAO"
"698","7093","AO"
"699","7093","AOH1"
"700","4781","APAF-1"
"701","4781","CED4"
"702","10587","APAH1"
"703","12608","Apo-F"
"704","12608","LTIP"
"705","3199","D9S411E"
"706","3199","LIN10"
"707","3199","MINT1"
"708","3199","X11"
"709","3199","X11A"
"710","3199","X11ALPHA"
"711","483","D15S1518E"
"712","483","HsT16821"
"713","483","LIN-10"
"714","483","MGC:14091"
"715","483","MINT2"
"716","483","X11-BETA"
"717","483","X11L"
"718","10875","FE65"
"719","10875","MGC:9072"
"720","10875","RIR"
"721","10221","FE65L"
"722","10221","FE65L1"
"723","6492","BTPS2"
"724","6492","DESMD"
"725","6492","DP2"
"726","6492","DP2.5"
"727","6492","DP3"
"728","6492","GS"
"729","6492","PPP1R46"
"730","6170","HEL-S-92n"
"731","6170","PTX2"
"732","6170","SAP"
"733","9645","AIRE1"
"734","9645","APECED"
"735","9645","APS1"
"736","9645","APSI"
"737","9645","PGA1"
"738","10333","AARE"
"739","10333","ACPH"
"740","10333","APH"
"741","10333","D3F15S2"
"742","10333","D3S48E"
"743","10333","DNF15S2"
"744","10333","OPH"
"745","2250","APE"
"746","2250","APE1"
"747","2250","APEN"
"748","2250","APEX"
"749","2250","APX"
"750","2250","HAP1"
"751","2250","REF1"
"752","3527","API1"
"753","3527","HIAP2"
"754","3527","Hiap-2"
"755","3527","MIHB"
"756","3527","RNF48"
"757","3527","c-IAP1"
"758","3527","cIAP1"
"759","409","AIP1"
"760","409","API2"
"761","409","CIAP2"
"762","409","HAIP1"
"763","409","HIAP1"
"764","409","IAP-1"
"765","409","MALT2"
"766","409","MIHC"
"767","409","RNF49"
"768","409","c-IAP2"
"769","2448","API3"
"770","2448","BIRC4"
"771","2448","IAP-3"
"772","2448","ILP1"
"773","2448","MIHA"
"774","2448","XLP2"
"775","2448","hIAP-3"
"776","2448","hIAP3"
"777","1745","API4"
"778","1745","EPR-1"
"779","2889","APLP"
"780","1538","APLP-2"
"781","1538","APPH"
"782","1538","APPL2"
"783","1538","CDEBP"
"784","4478","HPALP2"
"785","4478","apo(a)"
"786","9489","Apo-AII"
"787","9489","ApoA-II"
"788","9489","apoAII"
"789","3519","-"
"790","1546","FCHL2"
"791","1546","FLDB"
"792","1546","LDLCQ4"
"793","1546","apoB-100"
"794","1546","apoB-48"
"795","3681","APOBEC-1"
"796","3681","BEDP"
"797","3681","CDAR1"
"798","3681","HEPR"
"799","5790","Apo-CI"
"800","5790","ApoC-I"
"801","5790","apo-CIB"
"802","5790","apoC-IB"
"803","15947","-"
"804","2645","AQP-8"
"805","3520","APOCIII"
"806","14611","-"
"807","5789","AD2"
"808","5789","APO-E"
